# kdata file
# Format: Name, Sweetness, Sourness, Nuttiness, Texture
Hearsay Refreshingly Indulgent Chocolate Coated Velvet,0.75,0.22,0.49,0.24
Billy Bonker's Refreshingly Cheese Chocolate Coated Fudge,0.09,0.08,0.33,0.21
Billy Bonker's Tangy Honey Caramel Wafers,0.72,0.98,0.15,0.68
Good Ivan's Tart Salted Caramel Fudge,0.04,0.81,0.28,0.23
Billy Bonker's Cool Dark Chocolate Coated Lollipops,0.45,0,0.68,0.99
Billy Bonker's Luxurious Cheese Nut Candy Sticks,0.19,0.14,0.92,0.89
Good Ivan's Tart Honey Fruit Velvet,0.89,0.79,0.03,0.19
Good Ivan's Tart Dark Cashew Bar,0.49,0.99,0.71,0.4
Billy Bonker's Luxurious Sinful Chocolate Coated Lollipops,0.8,0.23,0.64,0.72
Nastly Sour Semisweet Walnut Mints,0.66,0.85,0.81,0.66
Nastly Semisweet Chocolate Jawbreakers,0.66,0.65,0.18,0.82
Nastly Luxurious Dark Nut Lollipops,0.61,0.07,0.87,0.97
Good Ivan's Tart Indulgent Caramel Jawbreakers,0.75,0.84,0.02,0.81
Hearsay Cool Bittersweet Peanut-Butter Clusters,0.47,0.26,0.42,0.96
Billy Bonker's Refreshingly Dark Cashew Clusters,0.57,0.2,0.87,0.89
Billy Bonker's Refreshingly Bittersweet Cashew Nonpariels,0.63,0.24,0.95,0.39
Good Ivan's Bittersweet Fruit Jawbreakers,0.47,0.57,0.15,0.84
Billy Bonker's Bitter Spearmint Mints,0.15,0.66,0.13,0.33
Hearsay Tangy Bittersweet Peanut Mints,0.5,0.87,0.76,0.58
Good Ivan's Tart Sinful Walnut Jawbreakers,0.73,1,0.75,0.91
Nastly Indulgent Cashew Velvet,0.99,0.63,0.9,0.12
Good Ivan's Tangy Dark Fruit Mints,0.6,0.84,0.14,0.37
Nastly Dark Spearmint Jawbreakers,0.69,0.64,0.09,0.93
Nastly Tart Bittersweet Walnut Bar,0.62,0.88,0.74,0.53
Nastly Cool Sinful Peanut-Butter Velvet,0.76,0.16,0.53,0.18
Good Ivan's Sour Bittersweet Walnut Bar,0.7,0.72,0.97,0.58
Good Ivan's Cool Honey Nut Wafers,0.95,0.15,0.73,0.31
Billy Bonker's Tart Cheese Wintergreen Nonpariels,0.09,0.77,0.29,0.59
Nastly Tangy Dark Fruit Jawbreakers,0.3,0.77,0.2,0.79
Hearsay Refreshingly Dark Peanut Bar,0.39,0.15,0.79,0.35
Good Ivan's Indulgent Spearmint Clusters,0.78,0.61,0.04,0.75
Good Ivan's Cool Cheese Peanut-Butter Jawbreakers,0.12,0.26,0.33,0.82
Nastly Sour Sinful Chocolate Coated Mints,0.91,0.79,0.67,0.58
Good Ivan's Tart Dark Peanut-Butter Velvet,0.33,0.99,0.32,0.22
Hearsay Cool Semisweet Peanut Fudge,0.4,0.19,0.85,0.12
Billy Bonker's Luxurious Dark Peanut-Butter Wafers,0.53,0.22,0.62,0.48
Hearsay Indulgent Caramel Candy Sticks,0.72,0.44,0.2,0.71
Billy Bonker's Luxurious Semisweet Walnut Jawbreakers,0.59,0.26,0.71,0.89
Billy Bonker's Tangy Indulgent Nugat-Filled Nonpariels,0.8,0.72,0.63,0.56
Good Ivan's Salted Nut Chews,0.29,0.6,0.83,0.21
Good Ivan's Luxurious Bittersweet Cashew Chews,0.47,0.22,0.99,0.17
Hearsay Luxurious Indulgent Peanut-Butter Clusters,0.93,0.2,0.51,0.77
Billy Bonker's Sour Honey Fruit Fudge,0.75,0.85,0,0.21
Nastly Cool Bittersweet Nugat-Filled Lollipops,0.39,0.2,0.66,0.86
Hearsay Salted Wintergreen Velvet,0.1,0.68,0.14,0.08
Hearsay Cool Cheese Peanut-Butter Clusters,0.1,0.27,0.3,0.82
Good Ivan's Indulgent Peanut Clusters,0.97,0.32,0.89,0.9
Billy Bonker's Refreshingly Cheese Wintergreen Mints,0.13,0.1,0.21,0.66
Billy Bonker's Cool Bittersweet Chocolate Velvet,0.35,0.27,0.1,0.16
Good Ivan's Tangy Cheese Chocolate Coated Mints,0.14,0.76,0.46,0.7
Hearsay Bitter Fruit Nonpariels,0.04,0.58,0.25,0.46
Billy Bonker's Luxurious Honey Peanut-Butter Fudge,0.94,0.27,0.36,0.12
Good Ivan's Cool Bitter Spearmint Wafers,0.04,0.2,0.07,0.36
Hearsay Salted Chocolate Nonpariels,0.05,0.33,0.03,0.37
Nastly Tart Indulgent Cashew Nonpariels,0.85,0.78,0.79,0.43
Good Ivan's Sour Honey Chocolate Candy Sticks,0.8,0.95,0.23,0.96
Nastly Refreshingly Bittersweet Almond Wafers,0.39,0.13,0.88,0.38
Good Ivan's Tart Indulgent Nut Wafers,0.85,0.76,0.86,0.67
Nastly Cool Salted Spearmint Fudge,0.02,0.13,0.15,0.15
Nastly Cool Dark Peanut Bar,0.33,0.19,0.74,0.57
Nastly Tangy Sinful Spearmint Mints,0.78,0.75,0.13,0.51
Billy Bonker's Tart Indulgent Caramel Lollipops,0.92,0.94,0.19,0.8
Billy Bonker's Sour Bittersweet Nugat-Filled Chews,0.49,0.71,0.46,0.16
Hearsay Tart Cheese Fruit Candy Sticks,0.12,0.88,0.18,0.73
Good Ivan's Sour Indulgent Nugat-Filled Velvet,0.93,0.81,0.34,0.19
Hearsay Refreshingly Cheese Chocolate Coated Candy Sticks,0.2,0.25,0.65,0.9
Hearsay Sour Honey Peanut Bar,0.77,0.79,0.79,0.57
Nastly Indulgent Peanut Jawbreakers,0.79,0.39,0.95,0.94
Billy Bonker's Refreshingly Semisweet Nut Wafers,0.44,0,0.71,0.51
Hearsay Tart Sinful Wintergreen Clusters,0.75,0.95,0.03,0.74
Hearsay Tangy Sinful Almond Nonpariels,0.76,0.93,0.87,0.48
Billy Bonker's Tart Dark Caramel Clusters,0.63,0.87,0.14,0.97
Nastly Luxurious Dark Cashew Velvet,0.48,0.18,0.9,0.03
Good Ivan's Cool Dark Nut Nonpariels,0.38,0.28,0.93,0.65
Billy Bonker's Sour Semisweet Peanut-Butter Fudge,0.68,1,0.67,0.06
Billy Bonker's Tart Sinful Wintergreen Clusters,0.84,0.97,0.07,0.95
Good Ivan's Salted Wintergreen Chews,0.28,0.51,0.04,0.29
Good Ivan's Refreshingly Bitter Peanut-Butter Jawbreakers,0.02,0.28,0.6,0.86
Hearsay Refreshingly Indulgent Cashew Candy Sticks,0.75,0.11,0.94,0.84
Hearsay Refreshingly Cheese Wintergreen Lollipops,0.19,0.26,0.19,0.75
Billy Bonker's Tart Honey Fruit Mints,0.98,0.95,0.01,0.68
Good Ivan's Sour Indulgent Peanut-Butter Bar,0.73,0.96,0.46,0.53
Nastly Tangy Honey Nugat-Filled Velvet,0.98,0.74,0.5,0.14
Hearsay Luxurious Salted Nugat-Filled Candy Sticks,0.27,0.24,0.32,0.91
Good Ivan's Sour Bitter Chocolate Coated Clusters,0.29,0.73,0.55,0.91
Billy Bonker's Tangy Dark Nut Mints,0.41,0.77,0.8,0.45
Billy Bonker's Sour Bitter Wintergreen Nonpariels,0.12,0.8,0.13,0.69
Billy Bonker's Refreshingly Bittersweet Almond Mints,0.42,0.24,0.93,0.68
Billy Bonker's Honey Chocolate Lollipops,0.88,0.61,0.03,0.98
Hearsay Semisweet Spearmint Lollipops,0.67,0.69,0.04,0.94
Nastly Tangy Semisweet Chocolate Coated Candy Sticks,0.62,0.75,0.4,0.89
Hearsay Refreshingly Semisweet Almond Lollipops,0.32,0.25,0.99,0.98
Billy Bonker's Tangy Indulgent Wintergreen Lollipops,0.71,0.77,0.05,0.9
Nastly Tangy Cheese Nugat-Filled Bar,0.24,0.87,0.52,0.33
Good Ivan's Luxurious Semisweet Nut Candy Sticks,0.5,0.03,0.98,0.97
Nastly Sour Salted Caramel Wafers,0.24,0.74,0.02,0.33
Nastly Tangy Indulgent Fruit Lollipops,0.89,0.71,0.21,0.99
Billy Bonker's Sour Indulgent Nugat-Filled Nonpariels,0.78,0.79,0.64,0.39
Hearsay Tart Semisweet Chocolate Coated Candy Sticks,0.53,0.84,0.54,0.91
Good Ivan's Refreshingly Bittersweet Almond Lollipops,0.58,0.23,0.88,0.77
Hearsay Tangy Indulgent Nugat-Filled Fudge,0.73,0.8,0.47,0.22
Billy Bonker's Cheese Fruit Fudge,0.28,0.32,0.17,0.1
Hearsay Cool Cheese Spearmint Chews,0.06,0.23,0.1,0.13
Hearsay Refreshingly Dark Walnut Velvet,0.32,0.12,0.93,0.19
Nastly Sour Indulgent Walnut Wafers,0.9,0.9,0.97,0.59
Hearsay Sour Honey Peanut-Butter Lollipops,0.83,0.87,0.36,0.99
Good Ivan's Refreshingly Bittersweet Walnut Lollipops,0.49,0.27,0.96,0.86
Nastly Bitter Spearmint Clusters,0.23,0.43,0.24,0.87
Nastly Luxurious Cheese Peanut-Butter Mints,0.08,0.27,0.64,0.57
Billy Bonker's Sour Honey Walnut Mints,0.97,0.87,0.97,0.65
Billy Bonker's Refreshingly Semisweet Almond Clusters,0.54,0.02,0.76,0.77
Nastly Luxurious Bitter Walnut Nonpariels,0.07,0.09,0.87,0.38
Nastly Luxurious Sinful Fruit Fudge,0.73,0.17,0.27,0.07
Hearsay Tart Honey Nut Nonpariels,0.85,0.89,0.8,0.68
Hearsay Tart Bittersweet Peanut-Butter Clusters,0.59,0.73,0.65,0.72
Nastly Luxurious Dark Cashew Clusters,0.32,0.12,0.94,0.88
Nastly Cool Cheese Peanut-Butter Jawbreakers,0.01,0.04,0.41,0.75
Good Ivan's Tangy Salted Fruit Clusters,0.22,0.83,0.11,0.83
Nastly Sour Sinful Spearmint Clusters,0.96,0.73,0.21,0.87
Nastly Sour Indulgent Peanut-Butter Wafers,0.98,0.76,0.36,0.61
Hearsay Sour Honey Chocolate Coated Wafers,0.96,0.89,0.64,0.57
Nastly Tart Dark Almond Velvet,0.3,1,0.79,0.13
Good Ivan's Tart Sinful Spearmint Wafers,0.92,0.99,0.07,0.63
Hearsay Refreshingly Salted Fruit Mints,0.16,0.2,0.1,0.43
Billy Bonker's Refreshingly Semisweet Walnut Chews,0.62,0.06,0.86,0.02
Hearsay Tangy Bittersweet Nut Bar,0.54,0.77,0.89,0.46
Nastly Sour Indulgent Walnut Velvet,0.95,0.86,1,0.24
Nastly Tart Salted Peanut Candy Sticks,0.25,0.76,0.77,0.97
Billy Bonker's Refreshingly Bittersweet Caramel Jawbreakers,0.54,0.1,0.09,0.97
Good Ivan's Tangy Bitter Cashew Chews,0.27,0.87,0.96,0.11
Nastly Cool Dark Walnut Candy Sticks,0.6,0.13,0.94,1
Nastly Sour Sinful Walnut Wafers,0.94,0.73,0.79,0.6
Billy Bonker's Sour Salted Chocolate Coated Bar,0.1,0.71,0.68,0.64
Good Ivan's Cool Honey Fruit Velvet,0.94,0.11,0.04,0.18
Good Ivan's Tangy Cheese Nugat-Filled Nonpariels,0.21,0.89,0.32,0.38
Nastly Refreshingly Cheese Wintergreen Chews,0.1,0.22,0.12,0.12
Hearsay Sour Indulgent Chocolate Coated Mints,0.89,0.99,0.49,0.48
Nastly Sour Dark Chocolate Coated Fudge,0.33,0.82,0.61,0.21
Good Ivan's Tangy Sinful Peanut-Butter Velvet,0.81,0.92,0.66,0.08
Nastly Honey Chocolate Lollipops,0.71,0.67,0,0.89
Billy Bonker's Refreshingly Salted Nut Clusters,0.27,0.09,0.92,0.74
Hearsay Cool Bittersweet Spearmint Clusters,0.47,0.11,0.25,1
Nastly Semisweet Caramel Candy Sticks,0.48,0.46,0.11,1
Good Ivan's Sour Honey Cashew Mints,0.83,0.71,0.86,0.48
Hearsay Luxurious Dark Walnut Lollipops,0.54,0.15,0.71,0.83
Hearsay Tart Bitter Caramel Chews,0.29,0.76,0.27,0.03
Billy Bonker's Tart Sinful Caramel Candy Sticks,0.74,0.94,0.22,0.73
Good Ivan's Indulgent Walnut Fudge,0.71,0.44,0.84,0.11
Good Ivan's Tangy Honey Nugat-Filled Chews,0.9,0.81,0.54,0.15
Billy Bonker's Tart Bittersweet Peanut Nonpariels,0.66,0.87,0.82,0.52
Good Ivan's Sour Dark Nugat-Filled Chews,0.39,0.78,0.33,0.24
Hearsay Refreshingly Bitter Chocolate Fudge,0.14,0.1,0.26,0.27
Good Ivan's Sour Semisweet Cashew Fudge,0.59,0.76,0.97,0.01
Nastly Salted Walnut Velvet,0.28,0.62,0.84,0.21
Nastly Sour Indulgent Peanut-Butter Mints,0.91,0.81,0.34,0.65
Nastly Sour Bittersweet Nugat-Filled Chews,0.62,0.82,0.65,0.22
Hearsay Sour Sinful Peanut-Butter Mints,0.75,0.79,0.3,0.39
Good Ivan's Cheese Fruit Clusters,0.26,0.37,0.18,0.82
Nastly Tangy Indulgent Peanut-Butter Velvet,0.78,0.73,0.56,0.13
Good Ivan's Sinful Fruit Jawbreakers,0.91,0.67,0.04,0.73
Nastly Luxurious Cheese Nugat-Filled Bar,0.09,0.02,0.55,0.7
Good Ivan's Tangy Indulgent Wintergreen Lollipops,0.77,0.94,0.01,0.97
Hearsay Tangy Honey Chocolate Coated Candy Sticks,0.98,0.71,0.37,0.81
Nastly Refreshingly Semisweet Nut Candy Sticks,0.48,0.02,0.76,0.79
Good Ivan's Tart Semisweet Chocolate Coated Clusters,0.31,0.92,0.33,0.74
Hearsay Luxurious Sinful Almond Candy Sticks,0.87,0.23,0.96,0.87
Hearsay Refreshingly Bittersweet Chocolate Coated Lollipops,0.55,0.29,0.37,0.71
Nastly Refreshingly Semisweet Nugat-Filled Chews,0.43,0.16,0.59,0.19
Billy Bonker's Tart Semisweet Fruit Clusters,0.61,0.84,0.19,0.74
Nastly Tangy Honey Almond Bar,0.73,0.87,0.89,0.36
Billy Bonker's Tangy Indulgent Spearmint Chews,0.74,0.74,0.18,0.28
Nastly Tart Bittersweet Almond Chews,0.48,0.99,0.95,0.23
Nastly Luxurious Semisweet Nugat-Filled Lollipops,0.51,0.17,0.63,0.77
Good Ivan's Sour Bittersweet Chocolate Coated Lollipops,0.61,0.78,0.43,0.78
Nastly Tangy Sinful Almond Lollipops,0.98,0.74,0.79,0.92
Hearsay Tangy Bitter Fruit Candy Sticks,0.08,0.78,0.25,0.75
Billy Bonker's Sour Honey Fruit Velvet,0.84,0.94,0.14,0.24
Billy Bonker's Tart Sinful Chocolate Coated Chews,0.91,0.98,0.64,0.14
Billy Bonker's Refreshingly Dark Nut Bar,0.56,0.22,0.9,0.44
Good Ivan's Sour Bittersweet Chocolate Coated Chews,0.35,0.99,0.54,0.12
Nastly Bittersweet Spearmint Jawbreakers,0.33,0.41,0.25,0.8
Good Ivan's Luxurious Indulgent Cashew Clusters,0.72,0.28,0.76,0.98
Nastly Cool Semisweet Peanut Jawbreakers,0.45,0.04,0.9,0.9
Hearsay Cool Semisweet Chocolate Coated Jawbreakers,0.43,0.04,0.46,0.76
Nastly Cool Indulgent Cashew Chews,0.8,0.29,0.77,0.06
Nastly Tart Honey Peanut-Butter Jawbreakers,0.79,0.78,0.38,0.93
Hearsay Tangy Honey Walnut Wafers,0.98,0.75,0.88,0.46
Nastly Cool Semisweet Walnut Jawbreakers,0.32,0.29,0.83,0.82
Nastly Sour Indulgent Walnut Nonpariels,0.75,0.81,0.73,0.33
Good Ivan's Cool Dark Caramel Fudge,0.32,0.2,0.17,0.18
Billy Bonker's Sour Dark Walnut Jawbreakers,0.67,0.85,0.83,0.92
Hearsay Sour Indulgent Caramel Clusters,0.78,0.97,0.02,0.89
Billy Bonker's Tangy Honey Wintergreen Lollipops,0.78,0.91,0.23,0.78
Good Ivan's Tart Sinful Wintergreen Candy Sticks,0.99,0.99,0.04,0.99
Good Ivan's Tart Dark Peanut Candy Sticks,0.63,0.86,0.81,0.95
Good Ivan's Cool Dark Cashew Mints,0.35,0.18,0.87,0.58
Billy Bonker's Tart Dark Chocolate Coated Velvet,0.34,0.95,0.53,0.06
Nastly Sour Indulgent Wintergreen Wafers,0.84,0.72,0.01,0.65
Nastly Luxurious Cheese Caramel Nonpariels,0.11,0.05,0.16,0.35
Hearsay Tart Indulgent Almond Nonpariels,0.98,0.85,0.93,0.51
Good Ivan's Sour Dark Walnut Wafers,0.36,0.9,0.86,0.63
Hearsay Tangy Indulgent Almond Nonpariels,0.82,0.87,0.75,0.65
Good Ivan's Tangy Sinful Almond Nonpariels,0.88,0.71,0.94,0.65
Nastly Sour Bittersweet Peanut-Butter Chews,0.54,0.72,0.32,0.16
Good Ivan's Refreshingly Semisweet Cashew Wafers,0.46,0.1,0.82,0.32
Billy Bonker's Tart Cheese Nugat-Filled Bar,0.04,0.87,0.46,0.43
Good Ivan's Tart Bittersweet Peanut-Butter Clusters,0.33,1,0.31,0.95
Hearsay Tangy Bittersweet Nugat-Filled Velvet,0.35,0.84,0.59,0.13
Good Ivan's Refreshingly Salted Nugat-Filled Fudge,0.21,0.13,0.69,0.11
Billy Bonker's Refreshingly Indulgent Caramel Clusters,0.96,0.13,0.04,0.98
Nastly Tangy Honey Chocolate Coated Nonpariels,0.78,0.88,0.63,0.59
Nastly Bitter Spearmint Wafers,0.12,0.52,0.14,0.57
Billy Bonker's Honey Nut Clusters,0.73,0.45,0.84,0.79
Good Ivan's Tangy Indulgent Chocolate Coated Bar,0.77,0.93,0.39,0.45
Nastly Salted Spearmint Nonpariels,0.14,0.39,0.21,0.33
Nastly Refreshingly Honey Peanut Mints,0.81,0.08,0.8,0.54
Nastly Sour Honey Nut Lollipops,0.9,0.79,0.88,0.71
Billy Bonker's Tangy Bittersweet Cashew Mints,0.45,1,0.76,0.32
Nastly Refreshingly Indulgent Peanut Fudge,0.86,0.18,0.91,0.27
Good Ivan's Sour Honey Wintergreen Nonpariels,0.75,0.97,0.16,0.61
Nastly Tangy Honey Peanut Nonpariels,0.81,0.77,0.79,0.34
Hearsay Semisweet Fruit Jawbreakers,0.52,0.5,0.13,0.9
Billy Bonker's Luxurious Dark Fruit Bar,0.7,0.01,0.17,0.6
Billy Bonker's Cool Salted Nut Lollipops,0.03,0.24,0.99,0.86
Billy Bonker's Tangy Sinful Spearmint Bar,0.76,0.84,0.06,0.5
Hearsay Cool Bitter Chocolate Coated Bar,0.16,0.22,0.64,0.7
Nastly Tangy Honey Peanut-Butter Chews,0.95,0.74,0.47,0.22
Billy Bonker's Sour Cheese Cashew Chews,0.19,0.8,0.84,0.11
Billy Bonker's Luxurious Bittersweet Cashew Candy Sticks,0.65,0.05,0.99,0.71
Hearsay Refreshingly Salted Peanut-Butter Bar,0.11,0.07,0.41,0.5
Good Ivan's Tart Dark Chocolate Coated Candy Sticks,0.57,0.78,0.68,0.95
Billy Bonker's Tangy Honey Chocolate Coated Candy Sticks,0.83,0.98,0.4,0.82
Billy Bonker's Luxurious Bitter Nut Chews,0.26,0.08,0.96,0.26
Billy Bonker's Sour Bitter Nugat-Filled Bar,0.07,0.99,0.65,0.34
Good Ivan's Indulgent Spearmint Jawbreakers,0.94,0.62,0.16,0.87
Billy Bonker's Refreshingly Semisweet Nut Mints,0.43,0.18,0.98,0.67
Billy Bonker's Tangy Honey Cashew Bar,0.9,0.74,0.98,0.49
Hearsay Cool Indulgent Wintergreen Wafers,0.85,0.11,0.01,0.53
Billy Bonker's Tangy Honey Cashew Wafers,0.77,0.87,0.75,0.6
Nastly Sour Bitter Nugat-Filled Clusters,0.01,0.86,0.68,0.91
Hearsay Cool Sinful Peanut-Butter Candy Sticks,0.81,0.09,0.59,0.75
Hearsay Luxurious Bittersweet Almond Bar,0.55,0.06,0.85,0.51
Billy Bonker's Tart Indulgent Caramel Mints,0.9,0.72,0.05,0.61
Nastly Refreshingly Dark Walnut Wafers,0.65,0.07,0.99,0.37
Billy Bonker's Tangy Sinful Wintergreen Candy Sticks,0.98,0.9,0.14,0.76
Hearsay Tangy Semisweet Nugat-Filled Jawbreakers,0.48,0.77,0.5,0.83
Good Ivan's Tangy Semisweet Nugat-Filled Velvet,0.38,0.91,0.42,0.09
Billy Bonker's Tangy Semisweet Peanut Velvet,0.46,0.89,0.81,0.04
Hearsay Refreshingly Dark Wintergreen Mints,0.48,0.16,0.13,0.31
Hearsay Refreshingly Dark Peanut-Butter Lollipops,0.6,0.17,0.35,0.85
Good Ivan's Cheese Wintergreen Mints,0.15,0.55,0.23,0.69
Billy Bonker's Refreshingly Bitter Spearmint Chews,0.03,0.27,0.01,0.15
Good Ivan's Tart Semisweet Peanut Clusters,0.43,0.83,0.89,0.86
Billy Bonker's Tangy Salted Chocolate Coated Candy Sticks,0.18,0.79,0.55,1
Good Ivan's Cool Dark Chocolate Coated Clusters,0.52,0.08,0.61,0.89
Good Ivan's Tart Honey Spearmint Bar,0.78,0.99,0.11,0.61
Hearsay Cool Sinful Chocolate Coated Jawbreakers,0.89,0.07,0.32,0.92
Billy Bonker's Sour Honey Peanut Lollipops,0.73,0.96,0.99,0.95
Hearsay Refreshingly Sinful Peanut Fudge,0.96,0,0.83,0.28
Nastly Cool Dark Caramel Nonpariels,0.53,0.07,0.19,0.39
Good Ivan's Sour Cheese Nut Lollipops,0.23,0.73,0.96,0.76
Nastly Refreshingly Bitter Fruit Jawbreakers,0.08,0.04,0.17,0.94
Good Ivan's Bittersweet Spearmint Clusters,0.45,0.54,0.04,0.94
Billy Bonker's Refreshingly Salted Nugat-Filled Mints,0.18,0.03,0.49,0.58
Nastly Refreshingly Bittersweet Almond Lollipops,0.68,0.12,0.87,0.89
Nastly Luxurious Salted Almond Fudge,0.02,0.1,0.78,0.13
Good Ivan's Tart Honey Nugat-Filled Velvet,1,0.98,0.32,0.04
Billy Bonker's Tangy Sinful Peanut-Butter Velvet,0.96,0.74,0.6,0.08
Good Ivan's Luxurious Dark Caramel Clusters,0.53,0.03,0.22,0.96
Nastly Refreshingly Bittersweet Walnut Jawbreakers,0.49,0.01,0.91,0.93
Billy Bonker's Sour Sinful Wintergreen Candy Sticks,0.86,0.87,0.25,0.75
Hearsay Cool Semisweet Peanut-Butter Lollipops,0.69,0.21,0.34,0.79
Nastly Sour Bitter Nut Bar,0.23,0.89,0.96,0.69
Good Ivan's Cheese Caramel Bar,0.18,0.33,0.27,0.58
Billy Bonker's Tart Sinful Peanut-Butter Wafers,0.88,0.74,0.64,0.31
Billy Bonker's Tart Honey Spearmint Mints,0.97,0.79,0.12,0.56
Good Ivan's Cool Honey Walnut Mints,0.83,0.04,0.92,0.47
Good Ivan's Tart Honey Chocolate Coated Mints,0.85,0.84,0.63,0.62
Good Ivan's Luxurious Honey Peanut-Butter Velvet,1,0.14,0.69,0.28
Billy Bonker's Tangy Sinful Spearmint Mints,0.75,0.77,0.24,0.61
Nastly Luxurious Dark Walnut Nonpariels,0.44,0.27,0.76,0.58
Good Ivan's Tart Indulgent Chocolate Coated Fudge,0.79,0.96,0.51,0.25
Nastly Sour Honey Cashew Nonpariels,0.9,0.73,0.92,0.46
Nastly Refreshingly Dark Peanut Candy Sticks,0.47,0.21,0.86,0.99
Billy Bonker's Cool Bittersweet Peanut Candy Sticks,0.59,0.23,0.71,0.83
Nastly Tangy Cheese Nut Velvet,0.08,0.95,0.9,0.1
Hearsay Cool Dark Chocolate Coated Velvet,0.43,0.13,0.67,0.18
Billy Bonker's Cool Dark Nut Candy Sticks,0.66,0.08,0.75,0.75
Billy Bonker's Luxurious Semisweet Almond Candy Sticks,0.42,0.14,0.77,0.84
Billy Bonker's Cool Semisweet Almond Jawbreakers,0.66,0.22,0.87,0.78
Good Ivan's Refreshingly Semisweet Nugat-Filled Candy Sticks,0.41,0.25,0.64,0.85
Billy Bonker's Refreshingly Bittersweet Nut Lollipops,0.56,0.14,0.71,0.73
Good Ivan's Luxurious Dark Cashew Clusters,0.65,0.11,0.75,0.93
Good Ivan's Refreshingly Honey Wintergreen Chews,0.73,0.05,0.2,0.15
Billy Bonker's Tangy Honey Nugat-Filled Candy Sticks,0.92,0.71,0.3,0.88
Hearsay Refreshingly Honey Nugat-Filled Chews,0.9,0.22,0.4,0.08
Hearsay Tangy Indulgent Fruit Nonpariels,0.9,0.75,0.04,0.5
Good Ivan's Sour Indulgent Caramel Jawbreakers,0.79,0.79,0.16,0.78
Nastly Luxurious Cheese Caramel Jawbreakers,0.25,0.03,0.13,0.83
Billy Bonker's Bitter Spearmint Clusters,0.21,0.66,0.25,0.93
Good Ivan's Cool Cheese Peanut Fudge,0.17,0.25,0.77,0.13
Billy Bonker's Semisweet Spearmint Lollipops,0.62,0.45,0.14,0.93
Good Ivan's Cool Salted Spearmint Chews,0.24,0.2,0.2,0.05
Hearsay Sinful Walnut Velvet,0.87,0.45,0.81,0.13
Nastly Tart Indulgent Cashew Mints,0.97,0.73,0.72,0.42
Hearsay Tart Honey Fruit Wafers,0.74,0.71,0.19,0.67
Billy Bonker's Sour Indulgent Nut Bar,0.83,0.89,0.77,0.33
Billy Bonker's Luxurious Indulgent Wintergreen Candy Sticks,0.92,0.13,0.18,0.71
Good Ivan's Tart Salted Peanut-Butter Wafers,0.04,0.93,0.69,0.37
Good Ivan's Sour Indulgent Peanut-Butter Lollipops,0.81,0.98,0.35,0.87
Nastly Tangy Cheese Peanut-Butter Bar,0.02,0.9,0.56,0.56
Hearsay Refreshingly Semisweet Peanut-Butter Clusters,0.33,0.06,0.61,0.97
Nastly Luxurious Indulgent Cashew Fudge,0.71,0.13,0.74,0.13
Billy Bonker's Tangy Salted Chocolate Wafers,0.08,0.77,0.05,0.48
Good Ivan's Refreshingly Semisweet Peanut Mints,0.49,0.29,0.79,0.69
Billy Bonker's Tangy Sinful Chocolate Coated Chews,0.73,0.81,0.5,0.26
Good Ivan's Cool Cheese Chocolate Candy Sticks,0.28,0.19,0.25,0.86
Good Ivan's Luxurious Bitter Caramel Jawbreakers,0.29,0.27,0.07,0.79
Good Ivan's Tart Semisweet Wintergreen Clusters,0.64,1,0.28,0.75
Hearsay Refreshingly Semisweet Peanut Candy Sticks,0.32,0.12,0.77,0.81
Good Ivan's Sour Honey Chocolate Coated Chews,0.71,0.88,0.61,0.09
Nastly Sinful Spearmint Jawbreakers,0.91,0.53,0.28,0.91
Good Ivan's Refreshingly Indulgent Almond Nonpariels,0.88,0.04,0.85,0.34
Billy Bonker's Bitter Fruit Chews,0.06,0.62,0.09,0.15
Hearsay Sour Sinful Peanut-Butter Fudge,0.94,0.88,0.52,0.15
Good Ivan's Luxurious Bittersweet Chocolate Coated Candy Sticks,0.52,0.27,0.65,0.83
Billy Bonker's Sour Dark Nut Bar,0.37,0.87,0.91,0.44
Good Ivan's Tangy Honey Caramel Candy Sticks,0.84,0.85,0.21,0.85
Hearsay Cool Sinful Walnut Candy Sticks,0.72,0.29,0.86,0.79
Billy Bonker's Tangy Bittersweet Chocolate Coated Velvet,0.67,0.96,0.53,0.17
Good Ivan's Luxurious Sinful Nugat-Filled Jawbreakers,0.84,0.29,0.45,0.99
Nastly Tart Sinful Chocolate Lollipops,0.93,0.8,0.26,0.78
Billy Bonker's Tart Indulgent Fruit Jawbreakers,0.97,0.84,0.17,0.86
Good Ivan's Sour Bittersweet Fruit Clusters,0.66,0.76,0.09,0.75
Billy Bonker's Tangy Dark Nugat-Filled Clusters,0.51,0.98,0.35,0.82
Billy Bonker's Indulgent Wintergreen Candy Sticks,0.88,0.67,0.22,0.79
Billy Bonker's Refreshingly Honey Spearmint Clusters,0.93,0.24,0.02,0.82
Hearsay Cool Salted Chocolate Coated Lollipops,0.11,0.15,0.56,0.92
Nastly Cool Dark Cashew Mints,0.34,0.29,0.79,0.54
Billy Bonker's Tart Sinful Walnut Nonpariels,0.79,0.71,0.8,0.51
Good Ivan's Luxurious Honey Peanut Velvet,0.95,0.25,0.93,0.19
Billy Bonker's Luxurious Bitter Spearmint Mints,0.02,0.12,0.22,0.32
Nastly Dark Caramel Jawbreakers,0.7,0.68,0.06,0.82
